normalizedIngredient,occurrences,sourceCount,resolutionState,candidateFamily,reason,recommendedNextAction
"лук","41","4","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"","12","1","AMBIGUOUS","","multiple accepted products match exact wording","retain family and resolve form only with explicit evidence"
"масло подсолнечное","7","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр","7","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец ч.м.","6","0","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"стебель сельдерея","6","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"красный сладкий перец","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло растительное для жарки","3","0","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец болгарский красный","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец горошком","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"перец сладкий","3","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"рисовый уксус","3","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"спагетти","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр пармезан","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"сыр твердых сортов","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"тертый сыр пармезан","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"яблочный уксус","3","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"армянский лаваш","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белая консервированная фасоль","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белокочанная капуста","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"белые грибы","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"вустерширский соус","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"говядина на кости","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"капуста брокколи","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"корейская морковь","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"корень имбиря","2","2","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"корень сельдерея","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"красное сухое вино","2","1","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
