normalizedIngredient,occurrences,sourceCount,resolutionState,candidateFamily,reason
"соль","197","4","PROCESS_INPUT","соль","process ingredient remains in accounting"
"растительное масло","86","4","PRODUCT_FAMILY_RESOLVED","растительное масло","corpus-backed identity family; concrete product selection remains pending"
"чеснок","81","5","EXACT_PRODUCT","чеснок","exact canonical product"
"морковь","71","5","EXACT_PRODUCT","морковь","exact canonical product"
"перец черный молотый","60","4","PRODUCT_FAMILY_RESOLVED","перец черный","generic identity resolved without arbitrary variant selection"
"яйца","59","3","EXACT_PRODUCT","яйца","exact canonical product"
"вода","57","5","PROCESS_INPUT","вода","non-purchased process medium"
"сахар","56","4","EXACT_PRODUCT","сахар","exact canonical product"
"молоко","54","5","PRODUCT_FAMILY_RESOLVED","молоко","generic identity resolved without arbitrary variant selection"
"сливочное масло","51","4","EXACT_PRODUCT","сливочное масло","exact canonical product"
"лук репчатый","50","4","FORM_EXPLICIT_PRODUCT","репчатый лук","exact accepted form-specific product"
"соль по вкусу","47","1","PROCESS_INPUT","соль","process ingredient remains in accounting"
"лук","41","4","PRODUCT_MISSING","","no accepted product or family evidence"
"масло растительное","41","2","PRODUCT_FAMILY_RESOLVED","растительное масло","corpus-backed identity family; concrete product selection remains pending"
"оливковое масло","35","4","EXACT_PRODUCT","оливковое масло","exact canonical product"
"сметана","34","4","PRODUCT_FAMILY_RESOLVED","сметана","generic identity resolved without arbitrary variant selection"
"репчатый лук","30","2","FORM_EXPLICIT_PRODUCT","репчатый лук","exact accepted form-specific product"
"мука","29","3","PRODUCT_FAMILY_RESOLVED","мука","corpus-backed identity family; concrete product selection remains pending"
"молотый черный перец по вкусу","28","1","PRODUCT_FAMILY_RESOLVED","черный перец","corpus-backed identity family; concrete product selection remains pending"
"помидоры","28","3","PRODUCT_FAMILY_RESOLVED","помидор","corpus-backed identity family; concrete product selection remains pending"
"картофель","25","3","EXACT_PRODUCT","картофель","exact canonical product"
"майонез","25","4","EXACT_PRODUCT","майонез","exact canonical product"
"куриное яйцо","23","2","FORM_EXPLICIT_PRODUCT","яйца","exact accepted form-specific product"
"творог","22","3","FORM_EXPLICIT_PRODUCT","творог","exact accepted form-specific product"
"пшеничная мука","21","2","PRODUCT_FAMILY_RESOLVED","пшеничная мука","corpus-backed identity family; concrete product selection remains pending"
"лавровый лист","20","4","PROCESS_INPUT","лавровый лист","process ingredient remains in accounting"
"картошка","19","1","SAFE_ALIAS","картофель","deterministic lexical alias"
"рис","19","5","EXACT_PRODUCT","рис","exact canonical product"
"специи сухие","19","2","PROCESS_INPUT","специи сухие","process ingredient remains in accounting"
"томатная паста","19","4","EXACT_PRODUCT","томатная паста","exact canonical product"
"яйцо","19","2","FORM_EXPLICIT_PRODUCT","яйца","exact accepted form-specific product"
"твердый сыр","18","3","PRODUCT_FAMILY_RESOLVED","твердый сыр","corpus-backed identity family; concrete product selection remains pending"
"фарш мясной","18","3","PRODUCT_FAMILY_RESOLVED","фарш мясной","corpus-backed identity family; concrete product selection remains pending"
"укроп","17","3","PRODUCT_FAMILY_RESOLVED","укроп","generic identity resolved without arbitrary variant selection"
"сыр твердый","16","2","PRODUCT_FAMILY_RESOLVED","сыр твердый","generic identity resolved without arbitrary variant selection"
"куриное филе","15","4","FORM_EXPLICIT_PRODUCT","грудка","exact accepted form-specific product"
"лимонный сок","15","3","PRODUCT_FAMILY_RESOLVED","лимонный сок","corpus-backed identity family; concrete product selection remains pending"
"яйцо куриное","15","2","PRODUCT_FAMILY_RESOLVED","яйцо","generic identity resolved without arbitrary variant selection"
"зелень","14","3","PROCESS_INPUT","зелень","process ingredient remains in accounting"
"панировочные сухари","13","2","PRODUCT_FAMILY_RESOLVED","панировочные сухари","corpus-backed identity family; concrete product selection remains pending"
"петрушка","13","4","EXACT_PRODUCT","петрушка","exact canonical product"
"","12","1","AMBIGUOUS","","multiple accepted products match exact wording"
"масло сливочное","12","2","PRODUCT_FAMILY_RESOLVED","масло сливочное","generic identity resolved without arbitrary variant selection"
"перец","12","2","PROCESS_INPUT","перец","process ingredient remains in accounting"
"тыква","12","4","EXACT_PRODUCT","тыква","exact canonical product"
"ванилин","11","4","PRODUCT_FAMILY_RESOLVED","ванилин","corpus-backed identity family; concrete product selection remains pending"
"гречка","11","2","EXACT_PRODUCT","гречка","exact canonical product"
"манка","11","3","PRODUCT_FAMILY_RESOLVED","манка","corpus-backed identity family; concrete product selection remains pending"
"горчица","10","3","EXACT_PRODUCT","горчица","exact canonical product"
"куриные яйца","10","2","PRODUCT_FAMILY_RESOLVED","яйца","generic identity resolved without arbitrary variant selection"
"соевый соус","10","3","EXACT_PRODUCT","соевый соус","exact canonical product"
"зеленый лук","9","3","EXACT_PRODUCT","зеленый лук","exact canonical product"
"сливки","9","4","PRODUCT_FAMILY_RESOLVED","сливки","generic identity resolved without arbitrary variant selection"
"говядина","8","3","PRODUCT_FAMILY_RESOLVED","говядина","generic identity resolved without arbitrary variant selection"
"капуста белокочанная","8","2","EXACT_PRODUCT","капуста белокочанная","exact canonical product"
"мед","8","4","EXACT_PRODUCT","мед","exact canonical product"
"огурцы","8","2","FORM_EXPLICIT_PRODUCT","огурец","exact accepted form-specific product"
"подсолнечное масло","8","2","EXACT_PRODUCT","подсолнечное масло","exact canonical product"
"разрыхлитель","8","4","PROCESS_INPUT","разрыхлитель","process ingredient remains in accounting"
"специи","8","2","PROCESS_INPUT","специи","process ingredient remains in accounting"
"шампиньоны","8","4","EXACT_PRODUCT","шампиньоны","exact canonical product"
"манная крупа","7","3","EXACT_PRODUCT","манная крупа","exact canonical product"
"масло подсолнечное","7","2","PRODUCT_MISSING","","no accepted product or family evidence"
"молотый черный перец","7","2","PRODUCT_FAMILY_RESOLVED","черный перец","corpus-backed identity family; concrete product selection remains pending"
"мука пшеничная","7","2","EXACT_PRODUCT","мука пшеничная","exact canonical product"
"овсяные хлопья","7","1","EXACT_PRODUCT","овсяные хлопья","exact canonical product"
"помидор","7","2","PRODUCT_FAMILY_RESOLVED","помидор","corpus-backed identity family; concrete product selection remains pending"
"сладкий перец","7","2","PRODUCT_FAMILY_RESOLVED","сладкий перец","corpus-backed identity family; concrete product selection remains pending"
"сыр","7","2","PRODUCT_MISSING","","no accepted product or family evidence"
"ванильный сахар","6","3","PRODUCT_FAMILY_RESOLVED","ванильный сахар","corpus-backed identity family; concrete product selection remains pending"
"кабачки","6","4","FORM_EXPLICIT_PRODUCT","кабачок","exact accepted form-specific product"
"курица","6","2","PRODUCT_FAMILY_RESOLVED","курица","generic identity resolved without arbitrary variant selection"
"морская соль по вкусу","6","1","PRODUCT_FAMILY_RESOLVED","морская соль","corpus-backed identity family; concrete product selection remains pending"
"овощной бульон","6","1","PRODUCT_FAMILY_RESOLVED","овощной бульон","corpus-backed identity family; concrete product selection remains pending"
"паприка молотая","6","1","PRODUCT_FAMILY_RESOLVED","паприка","generic identity resolved without arbitrary variant selection"
"перец ч.м.","6","0","PRODUCT_MISSING","","no accepted product or family evidence"
"помидоры черри","6","3","PRODUCT_FAMILY_RESOLVED","помидоры черри","corpus-backed identity family; concrete product selection remains pending"
"пшено","6","2","PRODUCT_FAMILY_RESOLVED","пшено","generic identity resolved without arbitrary variant selection"
"свинина","6","2","PRODUCT_FAMILY_RESOLVED","свинина","generic identity resolved without arbitrary variant selection"
"стебель сельдерея","6","2","PRODUCT_MISSING","","no accepted product or family evidence"
"томатный соус","6","2","EXACT_PRODUCT","томатный соус","exact canonical product"
"баклажаны","5","3","FORM_EXPLICIT_PRODUCT","баклажан","exact accepted form-specific product"
"белый хлеб","5","2","PRODUCT_FAMILY_RESOLVED","белый хлеб","corpus-backed identity family; concrete product selection remains pending"
"болгарский перец","5","2","PRODUCT_FAMILY_RESOLVED","болгарский перец","corpus-backed identity family; concrete product selection remains pending"
"говяжий фарш","5","2","FORM_EXPLICIT_PRODUCT","фарш говяжий","exact accepted form-specific product"
"кальмары","5","2","SAFE_ALIAS","кальмар","deterministic lexical alias"
"крахмал","5","2","PRODUCT_FAMILY_RESOLVED","крахмал","corpus-backed identity family; concrete product selection remains pending"
"лимон","5","2","EXACT_PRODUCT","лимон","exact canonical product"
"лук зеленый","5","2","PRODUCT_FAMILY_RESOLVED","лук зеленый","corpus-backed identity family; concrete product selection remains pending"
"перец болгарский","5","2","EXACT_PRODUCT","перец болгарский","exact canonical product"
"перец чили","5","3","PRODUCT_FAMILY_RESOLVED","перец чили","generic identity resolved without arbitrary variant selection"
"тимьян","5","1","PRODUCT_FAMILY_RESOLVED","тимьян","generic identity resolved without arbitrary variant selection"
"авокадо","4","2","EXACT_PRODUCT","авокадо","exact canonical product"
"базилик","4","3","PRODUCT_FAMILY_RESOLVED","базилик","generic identity resolved without arbitrary variant selection"
"бекон","4","2","PRODUCT_FAMILY_RESOLVED","бекон","corpus-backed identity family; concrete product selection remains pending"
"гречневая крупа","4","1","PRODUCT_FAMILY_RESOLVED","гречневая крупа","corpus-backed identity family; concrete product selection remains pending"
"зира","4","2","EXACT_PRODUCT","зира","exact canonical product"
"изюм","4","2","EXACT_PRODUCT","изюм","exact canonical product"
"капуста","4","1","PRODUCT_FAMILY_RESOLVED","капуста","generic identity resolved without arbitrary variant selection"
"кинза","4","1","PRODUCT_FAMILY_RESOLVED","кинза","corpus-backed identity family; concrete product selection remains pending"
"консервированная кукуруза","4","1","PRODUCT_FAMILY_RESOLVED","кукуруза","corpus-backed identity family; concrete product selection remains pending"
"красный лук","4","1","PRODUCT_FAMILY_RESOLVED","красный лук","corpus-backed identity family; concrete product selection remains pending"
"крупа гречневая","4","2","PRODUCT_FAMILY_RESOLVED","гречневая крупа","corpus-backed identity family; concrete product selection remains pending"
"куркума","4","3","EXACT_PRODUCT","куркума","exact canonical product"
"мускатный орех","4","3","EXACT_PRODUCT","мускатный орех","exact canonical product"
"паприка","4","2","EXACT_PRODUCT","паприка","exact canonical product"
"петрушка по вкусу","4","1","EXACT_PRODUCT","петрушка","exact canonical product"
"уксус","4","3","PROCESS_INPUT","уксус","process ingredient remains in accounting"
"бульон","3","1","PRODUCT_FAMILY_RESOLVED","бульон","corpus-backed identity family; concrete product selection remains pending"
"ветчина","3","4","PRODUCT_FAMILY_RESOLVED","ветчина","corpus-backed identity family; concrete product selection remains pending"
"грецкие орехи","3","2","PRODUCT_FAMILY_RESOLVED","грецкие орехи","corpus-backed identity family; concrete product selection remains pending"
"дижонская горчица","3","1","PRODUCT_FAMILY_RESOLVED","дижонская горчица","corpus-backed identity family; concrete product selection remains pending"
"для подачи по желанию","3","0","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"душистый перец горошком","3","1","PRODUCT_FAMILY_RESOLVED","душистый перец горошком","corpus-backed identity family; concrete product selection remains pending"
"зелень свежая","3","1","PROCESS_INPUT","зелень","process ingredient remains in accounting"
"карри","3","1","PRODUCT_FAMILY_RESOLVED","карри","corpus-backed identity family; concrete product selection remains pending"
"колбаса","3","2","PRODUCT_FAMILY_RESOLVED","колбаса","corpus-backed identity family; concrete product selection remains pending"
"корица","3","3","EXACT_PRODUCT","корица","exact canonical product"
"красный сладкий перец","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"крахмал кукурузный","3","2","EXACT_PRODUCT","крахмал кукурузный","exact canonical product"
"креветки","3","3","EXACT_PRODUCT","креветки","exact canonical product"
"круглый рис","3","1","PRODUCT_FAMILY_RESOLVED","круглый рис","corpus-backed identity family; concrete product selection remains pending"
"крупная соль по вкусу","3","0","PROCESS_INPUT","крупная соль","process ingredient remains in accounting"
"куриная грудка","3","2","FORM_EXPLICIT_PRODUCT","грудка","exact accepted form-specific product"
"куриный фарш","3","2","PRODUCT_FAMILY_RESOLVED","фарш","generic identity resolved without arbitrary variant selection"
"лук порей","3","1","EXACT_PRODUCT","лук порей","exact canonical product"
"масло растительное для жарки","3","0","PRODUCT_MISSING","","no accepted product or family evidence"
"молотый черный перец щепотка","3","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"пармезан","3","1","PRODUCT_FAMILY_RESOLVED","пармезан","corpus-backed identity family; concrete product selection remains pending"
"перец болгарский красный","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец горошком","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"перец сладкий","3","2","PRODUCT_MISSING","","no accepted product or family evidence"
"петрушка свежая","3","1","PRODUCT_FAMILY_RESOLVED","петрушка","generic identity resolved without arbitrary variant selection"
"растительное масло по вкусу","3","1","PRODUCT_FAMILY_RESOLVED","растительное масло","corpus-backed identity family; concrete product selection remains pending"
"рисовый уксус","3","2","PRODUCT_MISSING","","no accepted product or family evidence"
"розмарин","3","2","PRODUCT_FAMILY_RESOLVED","розмарин","generic identity resolved without arbitrary variant selection"
"сельдерей","3","2","PRODUCT_FAMILY_RESOLVED","сельдерей","corpus-backed identity family; concrete product selection remains pending"
"сода","3","2","PROCESS_INPUT","сода","process ingredient remains in accounting"
"соль перец","3","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"соль щепотка","3","1","COMPOUND_INGREDIENT_LINE","","deterministic comma-separated compound"
"спагетти","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр пармезан","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"сыр твердых сортов","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"тертый сыр пармезан","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"черный молотый перец","3","1","PRODUCT_FAMILY_RESOLVED","черный перец","corpus-backed identity family; concrete product selection remains pending"
"шпинат","3","2","EXACT_PRODUCT","шпинат","exact canonical product"
"яблоки","3","1","FORM_EXPLICIT_PRODUCT","яблоко","exact accepted form-specific product"
"яблочный уксус","3","1","PRODUCT_MISSING","","no accepted product or family evidence"
"яичный желток","3","2","EXACT_PRODUCT","яичный желток","exact canonical product"
"армянский лаваш","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"базилик сушеный","2","2","FORM_EXPLICIT_PRODUCT","базилик","exact accepted form-specific product"
"банан","2","1","EXACT_PRODUCT","банан","exact canonical product"
"бананы","2","1","FORM_EXPLICIT_PRODUCT","банан","exact accepted form-specific product"
"батон","2","1","PRODUCT_FAMILY_RESOLVED","батон","corpus-backed identity family; concrete product selection remains pending"
"белая консервированная фасоль","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"белокочанная капуста","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"белые грибы","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"брокколи","2","2","EXACT_PRODUCT","брокколи","exact canonical product"
"вустерширский соус","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"говядина на кости","2","1","PRODUCT_MISSING","","no accepted product or family evidence"
"грибы","2","1","PRODUCT_FAMILY_RESOLVED","грибы","corpus-backed identity family; concrete product selection remains pending"
"груши","2","2","FORM_EXPLICIT_PRODUCT","груша","exact accepted form-specific product"
"для теста","2","1","SOURCE_SECTION_LABEL","","recipe section label is not an ingredient"
"душистый перец","2","1","EXACT_PRODUCT","душистый перец","exact canonical product"
"зелень по вкусу","2","1","PROCESS_INPUT","зелень","process ingredient remains in accounting"
