normalizedIngredient,occurrences,sourceCount,recipeCount,beforeMapped,afterExactProduct,afterFamilyResolved,afterProcessInput,afterAmbiguous,afterProductGap,resolutionState,candidateFamily,reason,recommendedNextAction
"соль","197","4","192","0","0","0","197","0","0","PROCESS_INPUT","соль","process ingredient remains in accounting","none"
"растительное масло","86","4","86","0","0","86","0","0","0","PRODUCT_FAMILY_RESOLVED","растительное масло","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"чеснок","81","5","80","81","81","0","0","0","0","EXACT_PRODUCT","чеснок","exact canonical product","none"
"морковь","71","5","70","71","71","0","0","0","0","EXACT_PRODUCT","морковь","exact canonical product","none"
"перец черный молотый","60","4","60","0","0","60","0","0","0","PRODUCT_FAMILY_RESOLVED","перец черный","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"яйца","59","3","57","59","59","0","0","0","0","EXACT_PRODUCT","яйца","exact canonical product","none"
"вода","57","5","57","0","0","0","57","0","0","PROCESS_INPUT","вода","non-purchased process medium","none"
"сахар","56","4","54","56","56","0","0","0","0","EXACT_PRODUCT","сахар","exact canonical product","none"
"молоко","54","5","54","0","0","54","0","0","0","PRODUCT_FAMILY_RESOLVED","молоко","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"сливочное масло","51","4","53","51","51","0","0","0","0","EXACT_PRODUCT","сливочное масло","exact canonical product","none"
"лук репчатый","50","4","49","50","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","репчатый лук","exact accepted form-specific product","none"
"соль по вкусу","47","1","50","0","0","0","47","0","0","PROCESS_INPUT","соль","process ingredient remains in accounting","none"
"лук","41","4","41","0","0","0","0","0","41","PRODUCT_MISSING","","no accepted product or family evidence","retain family and resolve form only with explicit evidence"
"масло растительное","41","2","45","0","0","41","0","0","0","PRODUCT_FAMILY_RESOLVED","растительное масло","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"оливковое масло","35","4","35","35","35","0","0","0","0","EXACT_PRODUCT","оливковое масло","exact canonical product","none"
"сметана","34","4","37","0","0","34","0","0","0","PRODUCT_FAMILY_RESOLVED","сметана","generic identity resolved without arbitrary variant selection","retain family and resolve form only with explicit evidence"
"репчатый лук","30","2","30","30","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","репчатый лук","exact accepted form-specific product","none"
"мука","29","3","29","0","0","29","0","0","0","PRODUCT_FAMILY_RESOLVED","мука","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"молотый черный перец по вкусу","28","1","28","0","0","28","0","0","0","PRODUCT_FAMILY_RESOLVED","черный перец","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"помидоры","28","3","28","0","0","28","0","0","0","PRODUCT_FAMILY_RESOLVED","помидор","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"картофель","25","3","26","25","25","0","0","0","0","EXACT_PRODUCT","картофель","exact canonical product","none"
"майонез","25","4","25","25","25","0","0","0","0","EXACT_PRODUCT","майонез","exact canonical product","none"
"куриное яйцо","23","2","24","23","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","яйца","exact accepted form-specific product","none"
"творог","22","3","24","22","0","0","0","0","0","FORM_EXPLICIT_PRODUCT","творог","exact accepted form-specific product","none"
"пшеничная мука","21","2","21","0","0","21","0","0","0","PRODUCT_FAMILY_RESOLVED","пшеничная мука","corpus-backed identity family; concrete product selection remains pending","retain family and resolve form only with explicit evidence"
"лавровый лист","20","4","21","0","0","0","20","0","0","PROCESS_INPUT","лавровый лист","process ingredient remains in accounting","none"
"картошка","19","1","19","19","0","0","0","0","0","SAFE_ALIAS","картофель","deterministic lexical alias","none"
"рис","19","5","19","19","19","0","0","0","0","EXACT_PRODUCT","рис","exact canonical product","none"
"специи сухие","19","2","20","0","0","0","19","0","0","PROCESS_INPUT","специи сухие","process ingredient remains in accounting","none"
