originalIngredient,normalizedIngredient,cohortOccurrences,clusterCount,oldGapClass,newGapClass,existingProductId,selectedProductId,newProductId,aliasAdded,nutritionAuthority,resolutionReason
"Апельсиновая цедра","апельсиновая цедра","1","1","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","no authoritative local nutrition record in the approved catalog"
"Батон","батон","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","wheat_bread","wheat_bread","","батон","RF_FOOD_COMPOSITION_REF","safe Russian synonym for wheat bread in this corpus"
"Белый хлеб","белый хлеб","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","wheat_bread","wheat_bread","","белый хлеб","RF_FOOD_COMPOSITION_REF","safe bread synonym; no recipe form change"
"Ванилин","ванилин","5","5","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","no authoritative local nutrition record in the approved catalog"
"Ванильный сахар","ванильный сахар","4","4","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","no authoritative local nutrition record in the approved catalog"
"Вустерширский соус","вустерширский соус","1","1","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","no authoritative local nutrition record in the approved catalog"
"Зелень","зелень","1","1","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","unbounded mixture; no canonical product identity"
"Каперсы","каперсы","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","capers_pickled","capers_pickled","Каперсы","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Капуста цветная","капуста цветная","1","1","PRODUCT_CATALOG_GAP","EXISTING_PRODUCT_NORMALIZATION_GAP","cauliflower_raw","cauliflower_raw","","","USDA_FDC","word-order variant of existing canonical product"
"Красный сладкий перец","красный сладкий перец","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","bell_pepper_raw","bell_pepper_raw","","красный сладкий перец","RF_FOOD_COMPOSITION_REF","colour qualifier is compatible with the canonical raw bell-pepper product"
"Крупа манная","крупа манная","1","1","PRODUCT_CATALOG_GAP","EXISTING_PRODUCT_NORMALIZATION_GAP","semolina_dry","semolina_dry","","","RF_FOOD_COMPOSITION_REF","word-order variant of existing canonical product"
"Куриное филе","куриное филе","4","4","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","chicken_breast_raw","chicken_breast_raw","куриное филе","USDA_FDC","bounded local raw chicken-breast product; no cooked/raw substitution"
"Лимонный сок","лимонный сок","1","1","PRODUCT_CATALOG_GAP","EXISTING_PRODUCT_NORMALIZATION_GAP","lemon_juice","lemon_juice","","","USDA_FDC","canonical product already exists; identity differed only by source normalization"
"Манка","манка","7","7","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","semolina_dry","semolina_dry","","манка","RF_FOOD_COMPOSITION_REF","safe common alias for dry semolina"
"Масло растительное рафинированное","масло растительное рафинированное","1","1","PRODUCT_CATALOG_GAP","AMBIGUOUS_CATALOG_SEMANTICS","","","","","","oil source and fatty-acid profile are unspecified; do not choose rapeseed arbitrarily"
"Масло растительное (сливочное)","масло растительное сливочное","1","1","PRODUCT_CATALOG_GAP","AMBIGUOUS_CATALOG_SEMANTICS","","","","","","contradictory plant/butter wording; fail closed"
"Масло сливочное (для смазывания формы)","масло сливочное для смазывания формы","1","1","PRODUCT_CATALOG_GAP","FORM_RESOLUTION_GAP","butter_72pct","butter_72pct","","","USDA_FDC","preparation-purpose qualifier removed; existing butter product retained"
"Орегано,  щепотка","орегано","1","1","PRODUCT_CATALOG_GAP","SOURCE_NOISE","","","","","","quantity/punctuation fragment from source ingredient text"
"Панировочные сухари","панировочные сухари","2","2","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","bread_crumbs_dry","bread_crumbs_dry","Панировочные сухари","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Пармезан","пармезан","2","2","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","parmesan_hard","parmesan_hard","Пармезан","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Помидор","помидор","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","tomato_raw","tomato_raw","Помидор","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Помидоры","помидоры","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","tomato_raw","tomato_raw","Помидоры","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Помидоры свежие","помидоры свежие","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","tomato_raw","tomato_raw","Помидоры свежие","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Помидоры черри","помидоры черри","1","1","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","cherry cultivar cannot be silently mapped to generic tomato"
"Пшеничная мука","пшеничная мука","1","1","PRODUCT_CATALOG_GAP","EXISTING_PRODUCT_NORMALIZATION_GAP","wheat_flour","wheat_flour","","","USDA_FDC","word-order variant of existing canonical product"
"Рис круглый, непропаренный","рис круглый непропаренный","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","round_rice_dry","round_rice_dry","рис круглый, непропаренный","USDA_FDC","bounded local product with dry-form nutrition; punctuation/word-order alias"
"Салат Айсберг","салат айсберг","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","iceberg_lettuce_raw","iceberg_lettuce_raw","Салат Айсберг","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Салат ромен","салат ромен","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","romaine_lettuce_raw","romaine_lettuce_raw","Салат ромен","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Сахар ванильный","сахар ванильный","2","2","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","no authoritative local nutrition record in the approved catalog"
"Твёрдый сыр","твёрдый сыр","2","2","PRODUCT_CATALOG_GAP","EXISTING_PRODUCT_NORMALIZATION_GAP","hard_cheese_45pct","hard_cheese_45pct","","","RF_FOOD_COMPOSITION_REF","existing hard-cheese canonical product; spelling/word-order variant"
"Творог жирный","творог жирный","1","1","PRODUCT_CATALOG_GAP","FORM_RESOLUTION_GAP","","","","","","fat percentage is missing; 0% and 9% products remain ambiguous"
"Творог (однородный, жирный)","творог однородный жирный","1","1","PRODUCT_CATALOG_GAP","FORM_RESOLUTION_GAP","","","","","","texture/fat qualifiers do not identify a unique nutrition authority"
"Тертый сыр пармезан","тертый сыр пармезан","1","1","PRODUCT_CATALOG_GAP","SAFE_ALIAS_GAP","","parmesan_hard","parmesan_hard","Тертый сыр пармезан","USDA_FDC","predecessor-only occurrence reclassified by bounded local authoritative catalog fill"
"Тушенка","тушенка","1","1","PRODUCT_CATALOG_GAP","REAL_MISSING_PRODUCT","","","","","","preserved-meat product needs its own authoritative nutrition record"
