family,occurrencesInCohort,clusterCount,candidateProducts,policyClass,defaultProductId,reason,nutritionAuthority,allowedContexts,forbiddenContexts,policyVersion
"молоко","13","4","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","OWNER_POLICY_REQUIRED","","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference.","NONE","new-recipe-synthesis","source-resolution","recipe-synthesis-product-policy/v1"
"соль","16","6","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","AUTO_SYNTHESIS_DEFAULT_ALLOWED","salt_table","Generic culinary salt has one accepted canonical table-salt identity in the recipe catalog; no food-class, form or meaningful qualifier is changed.","WEIGHT_APP_SYNTHESIS_POLICY","new-recipe-synthesis","source-resolution|explicit-product|explicit-form|research-evidence","recipe-synthesis-product-policy/v1"
"растительное масло","15","7","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","OWNER_POLICY_REQUIRED","","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition.","NONE","new-recipe-synthesis","source-resolution","recipe-synthesis-product-policy/v1"
"Лук","3","2","leek_raw|onion|onion_baked|onion_green_raw|onion_powder","NO_SAFE_DEFAULT","","Leek, bulb, green, baked and powdered onion are distinct forms.","NONE","","source-resolution|new-recipe-synthesis","recipe-synthesis-product-policy/v1"
"фарш","1","1","beef_mince_raw|chicken_mince_raw|pork_mince_raw","NO_SAFE_DEFAULT","","Beef, pork and chicken mince materially change the recipe identity.","NONE","","source-resolution|new-recipe-synthesis","recipe-synthesis-product-policy/v1"
"яйцо","10","4","egg_boiled|egg_fried|egg_raw|quail_egg_raw","NO_SAFE_DEFAULT","","Raw, cooked, fried and quail eggs differ in form or identity.","NONE","","source-resolution|new-recipe-synthesis","recipe-synthesis-product-policy/v1"
"мука","12","3","buckwheat_flour|corn_flour|rice_flour|rye_flour|wheat_flour","OWNER_POLICY_REQUIRED","","Wheat, rye, rice, corn and buckwheat flour are not interchangeable.","NONE","new-recipe-synthesis","source-resolution","recipe-synthesis-product-policy/v1"
"сметана","4","2","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","OWNER_POLICY_REQUIRED","","10%, 15% and 20% sour cream materially change nutrition and require owner preference.","NONE","new-recipe-synthesis","source-resolution","recipe-synthesis-product-policy/v1"
"кефир","1","1","kefir_1pct|kefir_2_5pct","OWNER_POLICY_REQUIRED","","Kefir fat percentage is a product-design choice.","NONE","new-recipe-synthesis","source-resolution","recipe-synthesis-product-policy/v1"
"масло","1","1","butter|butter_72pct|coconut_oil|corn_oil|ghee|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","NO_SAFE_DEFAULT","","Butter, ghee and plant oils are different food identities.","NONE","","source-resolution|new-recipe-synthesis","recipe-synthesis-product-policy/v1"
"крахмал","1","1","corn_starch|potato_starch","RESEARCH_CONFLICT","","Research conflict blocks synthesis default.","NONE","new-recipe-synthesis","source-resolution","recipe-synthesis-product-policy/v1"
"пшено","6","1","millet_boiled|millet_dry","RESEARCH_CONFLICT","","Research conflict blocks synthesis default.","NONE","","source-resolution|new-recipe-synthesis","recipe-synthesis-product-policy/v1"
"или","1","1","basil_dried|chili_powder","NO_SAFE_DEFAULT","","No versioned policy entry exists for this family.","NONE","","","recipe-synthesis-product-policy/v1"
"Творог жирностью 5%","1","1","butter_72pct|cottage_cheese_5pct|hard_cheese_45pct|kefir_2_5pct|milk_2_5pct|sour_cream_15pct|step092_milk","NO_SAFE_DEFAULT","","Explicit source/form evidence has priority over synthesis policy.","NONE","","source-resolution|new-recipe-synthesis","recipe-synthesis-product-policy/v1"
