clusterId,conceptName,requiredIngredient,identity,family,explicitQualifiers,candidateProductCount,selectedProductId,selectionState,selectionReason,nutritionVersionPresent,catalogGapClass
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Рис","Рис","step092_rice","","1","step092_rice","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Вода","вода","вода","","0","","PROCESS_INPUT_ACCOUNTED","explicit non-purchased process medium","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Молоко","молоко","молоко","","4","","PRODUCT_SELECTION_PENDING","multiple semantically valid products remain; no arbitrary variant is selected","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сахар","Сахар","sugar_white","","1","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сливочное масло","Сливочное масло","butter","","1","butter","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Молоко","молоко","молоко","","4","","PRODUCT_SELECTION_PENDING","multiple semantically valid products remain; no arbitrary variant is selected","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Круглый рис","Круглый рис","round_rice_dry","","1","round_rice_dry","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сахар","Сахар","sugar_white","","1","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сливочное масло","Сливочное масло","butter","","1","butter","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Круглый рис","Круглый рис","round_rice_dry","","1","round_rice_dry","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Тыква","Тыква","pumpkin_raw","","1","pumpkin_raw","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Вода","вода","вода","","0","","PROCESS_INPUT_ACCOUNTED","explicit non-purchased process medium","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Молоко","молоко","молоко","","4","","PRODUCT_SELECTION_PENDING","multiple semantically valid products remain; no arbitrary variant is selected","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сахар","Сахар","sugar_white","","1","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Сливочное масло","Сливочное масло","butter","","1","butter","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Рис круглый, непропаренный","Рис круглый, непропаренный","round_rice_dry","","1","round_rice_dry","EXACT_PRODUCT_ALREADY_RESOLVED","accepted resolver supplied concrete product with nutrition authority","true",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Вода","вода","вода","","0","","PROCESS_INPUT_ACCOUNTED","explicit non-purchased process medium","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Молоко","молоко","молоко","","4","","PRODUCT_SELECTION_PENDING","multiple semantically valid products remain; no arbitrary variant is selected","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Соль","соль","соль","","5","","PRODUCT_SELECTION_PENDING","multiple semantically valid products remain; no arbitrary variant is selected","false",""
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","Масло сливочное","масло сливочное","масло сливочное","","1","butter_72pct","SINGLE_COMPATIBLE_PRODUCT_SELECTED","exactly one semantically compatible catalog product","true",""
