clusterId,conceptName,ingredient,family,candidateProducts,explicitEvidence,policyClass,defaultProductId,defaultAllowed,reason,nutritionVersion,blockingIssue
"dcluster_fe53ae043896783cc724a3b8","Рисовая каша с тыквой на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","","OWNER_POLICY_REQUIRED","","false","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference.","unknown","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference."
"dcluster_fe53ae043896783cc724a3b8","Рисовая каша с тыквой на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","","OWNER_POLICY_REQUIRED","","false","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference.","unknown","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference."
"dcluster_fe53ae043896783cc724a3b8","Рисовая каша с тыквой на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","","OWNER_POLICY_REQUIRED","","false","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference.","unknown","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference."
"dcluster_fe53ae043896783cc724a3b8","Рисовая каша с тыквой на молоке","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","","OWNER_POLICY_REQUIRED","","false","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference.","unknown","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference."
"dcluster_fe53ae043896783cc724a3b8","Рисовая каша с тыквой на молоке","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","","AUTO_SYNTHESIS_DEFAULT_ALLOWED","salt_table","true","Generic culinary salt has one accepted canonical table-salt identity in the recipe catalog; no food-class, form or meaningful qualifier is changed.","present",""
"dcluster_87b96a2fc22b24da2b6baa44","Нежный омлет с помидорами","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","","OWNER_POLICY_REQUIRED","","false","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference.","unknown","1%, 2.5%, 3.2% and legacy milk variants require a product-owner fat preference."
"dcluster_6c4fc81795281b002cc6dc87","Салат Цезарь классический с курицей","Растительное масло","растительное масло","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","","OWNER_POLICY_REQUIRED","","false","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition.","unknown","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition."
"dcluster_6c4fc81795281b002cc6dc87","Салат Цезарь классический с курицей","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","","AUTO_SYNTHESIS_DEFAULT_ALLOWED","salt_table","true","Generic culinary salt has one accepted canonical table-salt identity in the recipe catalog; no food-class, form or meaningful qualifier is changed.","present",""
"dcluster_05a46bbdde3c29fe31ba3f9b","Гречка с тушенкой на сковороде","Лук","Лук","leek_raw|onion|onion_baked|onion_green_raw|onion_powder","","NO_SAFE_DEFAULT","","false","Leek, bulb, green, baked and powdered onion are distinct forms.","unknown","Leek, bulb, green, baked and powdered onion are distinct forms."
"dcluster_05a46bbdde3c29fe31ba3f9b","Гречка с тушенкой на сковороде","Масло растительное","растительное масло","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","","OWNER_POLICY_REQUIRED","","false","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition.","unknown","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition."
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Лук","Лук","leek_raw|onion|onion_baked|onion_green_raw|onion_powder","","NO_SAFE_DEFAULT","","false","Leek, bulb, green, baked and powdered onion are distinct forms.","unknown","Leek, bulb, green, baked and powdered onion are distinct forms."
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Растительное масло","растительное масло","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","","OWNER_POLICY_REQUIRED","","false","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition.","unknown","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition."
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Куриный фарш","фарш","beef_mince_raw|chicken_mince_raw|pork_mince_raw","","NO_SAFE_DEFAULT","","false","Beef, pork and chicken mince materially change the recipe identity.","unknown","Beef, pork and chicken mince materially change the recipe identity."
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Лук","Лук","leek_raw|onion|onion_baked|onion_green_raw|onion_powder","","NO_SAFE_DEFAULT","","false","Leek, bulb, green, baked and powdered onion are distinct forms.","unknown","Leek, bulb, green, baked and powdered onion are distinct forms."
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","","NO_SAFE_DEFAULT","","false","Raw, cooked, fried and quail eggs differ in form or identity.","unknown","Raw, cooked, fried and quail eggs differ in form or identity."
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Мука","мука","buckwheat_flour|corn_flour|rice_flour|rye_flour|wheat_flour","","OWNER_POLICY_REQUIRED","","false","Wheat, rye, rice, corn and buckwheat flour are not interchangeable.","unknown","Wheat, rye, rice, corn and buckwheat flour are not interchangeable."
"dcluster_e2681d3f3c9edc2aae185eee","Куриные котлеты на сковороде","Растительное масло","растительное масло","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","","OWNER_POLICY_REQUIRED","","false","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition.","unknown","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition."
"dcluster_702b71b25126985c62e320f3","Жульен с курицей и грибами в духовке","Сметана","сметана","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","","OWNER_POLICY_REQUIRED","","false","10%, 15% and 20% sour cream materially change nutrition and require owner preference.","unknown","10%, 15% and 20% sour cream materially change nutrition and require owner preference."
"dcluster_bc313f8f21d9a7c460d07d1b","Омлет на кефире на сковороде","Кефир","кефир","kefir_1pct|kefir_2_5pct","","OWNER_POLICY_REQUIRED","","false","Kefir fat percentage is a product-design choice.","unknown","Kefir fat percentage is a product-design choice."
"dcluster_bc313f8f21d9a7c460d07d1b","Омлет на кефире на сковороде","Растительное масло","растительное масло","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","","OWNER_POLICY_REQUIRED","","false","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition.","unknown","Oil source (sunflower, olive, rapeseed, etc.) changes culinary identity and nutrition."
"dcluster_bc313f8f21d9a7c460d07d1b","Омлет на кефире на сковороде","Масло","масло","butter|butter_72pct|coconut_oil|corn_oil|ghee|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","","NO_SAFE_DEFAULT","","false","Butter, ghee and plant oils are different food identities.","unknown","Butter, ghee and plant oils are different food identities."
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Сметана","сметана","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Сметана","сметана","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","present","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Сметана","сметана","sour_cream_10pct|sour_cream_15pct|sour_cream_20pct","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Крахмал","крахмал","corn_starch|potato_starch","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","present","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Растительное масло","растительное масло","coconut_oil|corn_oil|linseed_oil|olive_oil|rapeseed_oil|sunflower_oil","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Яйцо","яйцо","egg_boiled|egg_fried|egg_raw|quail_egg_raw","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Молоко","молоко","milk_1pct|milk_2_5pct|milk_3_2pct|step092_milk","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","unknown","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","present","research conflict"
"dcluster_72fc1ebae6618bc0fe913fff","Творожная запеканка с манкой и сметаной","Соль","соль","beans_boiled|beans_canned_drained|beans_white_dry|green_beans_raw|salt_table","","RESEARCH_CONFLICT","","false","Research conflict blocks synthesis default.","present","research conflict"
