normalizedIngredient,cohortOccurrences,clusterCount,gapClass,authorityStatus,recommendedNextAction
"апельсиновая цедра","1","1","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"ванилин","5","5","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"ванильный сахар","4","4","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"вустерширский соус","1","1","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"зелень","1","1","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"масло растительное рафинированное","1","1","AMBIGUOUS_CATALOG_SEMANTICS","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"масло растительное сливочное","1","1","AMBIGUOUS_CATALOG_SEMANTICS","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"масло сливочное для смазывания формы","1","1","FORM_RESOLUTION_GAP","USDA_FDC","owner evidence or authoritative local nutrition required"
"помидоры черри","1","1","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"сахар ванильный","2","2","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"творог жирный","1","1","FORM_RESOLUTION_GAP","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"творог однородный жирный","1","1","FORM_RESOLUTION_GAP","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
"тушенка","1","1","REAL_MISSING_PRODUCT","MISSING_OR_AMBIGUOUS","owner evidence or authoritative local nutrition required"
