clusterId,workingConceptName,candidateCount,distinctSourceCount,sources,confidence,ingredientSimilarity,techniqueSimilarity,structuralSimilarity,synthesisCandidate,blockReason
"dcluster_d5a772a6c1f9c27518c7d967","Омлет с лососем и страчателлой","1","1","eda","0.866286","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_54cd28ee32368b2269cb433a","Смузи-боул с ягодами","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_25da1ca0f337ecfa27f5f392","Ветчина с помидорами и сыром чеддер","1","1","eda","0.858667","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_7dc388f612191369fbf04e37","Вареники с сулугуни и сметаной","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_cce2ee4b25f82c72013700ee","Творожная улитка из лаваша с черной смородиной","1","1","eda","0.949143","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_22bb2b19d7c115cef7319d09","Омлетный хлеб","1","1","eda","0.848","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_bad0c5b305a93cbdfa649b66","Вишня с сыром Моцарелла в лаваше","1","1","eda","0.885333","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_ed91275c8d1589d61bd37e08","Картофельный гратен со сладким кремом из авокадо и яичницей","1","1","eda","0.959692","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_74ac4967c0c85078b83fa093","Мини-поп-корн из амаранта с медом и молоком","1","1","eda","0.872","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_4bdbe1c3ffff952873d2fed1","Запеканка с ягодами и кокосовой мукой","1","1","eda","0.94","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_06210e70a9392b5421aa0155","Рисовая каша с тыквой на молоке","4","3","1000menu|eda|russianfood","0.84719","1","1","1","true","PRODUCT_SELECTION_PENDING"
"dcluster_87b96a2fc22b24da2b6baa44","Нежный омлет с помидорами","2","2","eda|russianfood","0.804","1","1","1","true","PRODUCT_SELECTION_PENDING"
"dcluster_1fe0162c1bdc75777ce84ed5","Тосты с маршмеллоу","1","1","eda","0.824727","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_4580fe22c43498faf6ffb577","Шотландские панкейки","1","1","eda","0.889143","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_fd7cb0376a363d2ba20139bd","Бифштекс из говядины","1","1","eda","0.866286","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_3912e9a30312b0e92e7aad7f","Фаршированные перцы","1","1","eda","0.918667","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_652f9632b63c30b4e53b815b","Крошка-картошка","1","1","eda","0.900889","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_96463f786e8b6f28df09778b","Спагетти под соусом болоньезе с итальянскими травами","1","1","eda","0.853818","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_f4c68d128e04f92f63c5254c","Запеканка из пшеничной лапши с купатами","1","1","eda","0.918667","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_3f198ae08f7c64014b504524","Помидоры фаршированные","1","1","eda","0.858667","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_762d8140a60e03825cac7e35","Домашние бургеры в итальянском стиле","1","1","eda","0.893176","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_692397a36ffaf79b06af0a1e","Пикантная грудка индейки, запеченная в фольге","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_9d1699201739604da9e1331c","Телятина с брусничным соусом в ржаном каравае","1","1","eda","0.895158","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_20b53ac5450b2459a01e36c0","Свиные котлеты на косточке с начинкой из овечьего сыра и орехов","1","1","eda","0.926286","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_dde54ef297aaeb4bd762d857","Жареный минтай с луком","1","1","eda","0.843429","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_625f00c0ab70e2a40746afe7","Мясо по-французски с помидорами в духовке","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_077ef3eb81e104c6aa9abce8","Киш со шпинатом и сладким перцем","1","1","eda","0.954222","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_f668783b40ef527d93e3bc87","Кофейное пюре","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_7b6944c18aafae831380cd6b","Веганская паста карбонара","1","1","eda","0.832","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_07466e7c5aa69eab0c1ac657","Стейк мачете","1","1","eda","0.843429","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_46d1393ba3ccc0c6d199de7e","Суп из обжаренных на гриле помидоров с хрустящими хлебными палочками с сыром","1","1","eda","0.875077","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_415247c5673ea975e556f9be","Суп из лука-порея и брокколи","1","1","eda","0.832","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_a07d7d68e39a4b2067a0801c","Весенний суп из моркови и картофеля","1","1","eda","0.864","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_50e3d856e648bec8d66c85ce","Чечевичный суп с курицей","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_cdd9aaa479e7a65c5f91ebe8","Зеленые щи с хеком","1","1","eda","0.887385","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_1ba060bedd8943816bfba57f","Пряный суп-пюре из кукурузы","1","1","eda","0.898667","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_96260e307049e6b28711d264","Холодный суп из авокадо с огурцом","1","1","eda","0.866286","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_51ff5cb97ecb8ad085abf17e","Суп с тушенкой","1","1","eda","0.894222","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_dfb06ca3b6a790581a074a66","Кукси с креветкой и кальмарами","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_356ded33c521048f8c32cf11","Суп рисовый с кальмарами и томатным соком","1","1","eda","0.839273","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_6b55a548b3947b26362b51b4","Буйабес по-марсельски с мидиями и креветками","1","1","eda","0.889143","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_125277746908a02b9ec96e60","Овощной суп с фасолью","1","1","eda","0.852","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_ba4856bb826922472e95b068","Суп сырный с копченостями в мультиварке","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_512f10a4b7ea7cffdc1d0ae2","Томатный суп с охотничьими колбасками","1","1","eda","0.892","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_41b46c90c426d2abe208128f","Морковь по-корейски с соусом терияки","1","1","eda","0.876444","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_cc7a371a3a085a261b159eb2","Салат из пекинской капусты и огурца с тунцом","1","1","eda","0.894222","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_45d05837b3ee76126c9eecb5","Салат с белыми грибами и горгонзолой","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_3a303bcb2a60a8fa11ee4a61","Осенний салат «Амелия»","1","1","eda","0.88","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_ebd9c63f76bc5ceb26841e91","Салат из говяжьего ростбифа с вареным яйцом и медово-горчичным соусом","1","1","eda","0.894222","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_8b6849726ef4bb6c72d59812","Салат из консервированных кальмаров и ананасов","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_a67678ed1cf6184903e0b6e3","Капустный салат","1","1","eda","0.88","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_c4c6bf9511318ace70064cbe","Салат из сельдерея с грудкой индейки","1","1","eda","0.88","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","2","2","1000menu|eda","0.927666","1","1","1","true","BLOCKED_CONFLICT"
"dcluster_9d58a4d3b47e78146fc424a7","Салат «Венеция»","1","1","eda","0.889143","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_b2da4137b5fc6e5a17d8af9b","Салат с консервированными тунцом и фасолью","1","1","eda","0.822","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_b951faadda6f445c81ebd8e0","Салат с беконом и коктейльными томатами","1","1","eda","0.872","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_39baa98cf62371cb8108ff23","Морковь на гриле с кремом из горгонзолы","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_777da17d1fa3c8d996ab3af4","Печеные грибы со сливочным маслом и розмарином","1","1","eda","0.912","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_5116ea27325f3a8284046e37","Язычки из баклажанов","1","1","eda","0.872","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_ab0b335ba052153b5a30f3b0","Роллы из оливье в блинчиках из омлета","1","1","eda","0.843429","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
"dcluster_d9a8638a47eda1c14fda8929","Оладьи кабачковые","1","1","eda","0.868364","1","1","1","false","BLOCKED_CLUSTER_CONFIDENCE"
