normalizedIngredient,canonicalIdentity,canonicalForm,authority,authorityRecordId,authorityDescription,datasetVersion,retrievedAt,energyKcalPer100g,proteinGPer100g,fatGPer100g,carbGPer100g,matchStatus,decision,reason
"апельсиновая цедра","orange peel/zest","RAW_PEEL","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","NO_MATCH","PRODUCT_NUTRITION_AUTHORITY_MISSING","Accepted local authorities contain no semantically matching orange-peel record; whole orange/juice substitution is rejected."
"ванилин","vanillin","DRY_TRACE_INGREDIENT","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","NO_MATCH","PRODUCT_NUTRITION_AUTHORITY_MISSING","No accepted food-composition record for an accounting Product; zero-calorie assumption is forbidden."
"ванильный сахар","vanilla sugar","DRY_SWEETENED_MIX","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","PRODUCT_NUTRITION_AUTHORITY_MISSING","No authoritative composition for the mixture; sugar plus arbitrary vanillin ratio is not derived."
"сахар ванильный","vanilla sugar","DRY_SWEETENED_MIX","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","PRODUCT_NUTRITION_AUTHORITY_MISSING","Strict lexical equivalent of vanilla sugar, but no authoritative composition is available."
"вустерширский соус","Worcestershire sauce","READY_TO_EAT_SAUCE","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","NO_MATCH","PRODUCT_NUTRITION_AUTHORITY_MISSING","No accepted generic non-branded authority record; branded label data cannot become generic authority."
"помидоры черри","cherry tomato","RAW_CHERRY_TOMATO","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","AMBIGUOUS_FORM","Generic raw tomato nutrition cannot be silently reused for a cherry-specific Product."
"тушенка","canned preserved meat","CANNED_READY_TO_EAT","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","OUT_OF_SCOPE_PACKAGED_PRODUCT","Identity and composition vary by meat, fat and recipe; raw/stewed meat records are not equivalent."
"зелень","mixed greens","UNBOUNDED_MIXTURE","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","GENERIC_UNBOUNDED_IDENTITY","Unbounded mixture has no deterministic canonical identity."
"масло растительное рафинированное","refined vegetable oil","REFINED_OIL_UNSPECIFIED_SOURCE","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","AMBIGUOUS_IDENTITY","Oil source is unspecified; no arbitrary seed/oil family is selected."
"масло растительное сливочное","contradictory oil/butter wording","UNRESOLVED","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","AMBIGUOUS_IDENTITY","Contradictory wording is fail-closed."
"масло сливочное для смазывания формы","butter","RAW_BUTTER_72PCT","USDA_FDC","USDA_FDC_MAP:butter_72pct:2026-07-25","Existing accepted butter_72pct product","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","catalog-core-v3/local-authority-index-2026-07-25","EXISTING_PRODUCT_FOUND","Existing canonical butter product is sufficient; preparation-purpose qualifier does not create a new Product."
"творог жирный","fat cottage cheese","COTTAGE_CHEESE_UNSPECIFIED_FAT","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","AMBIGUOUS_FORM","Fat percentage is not identified; 0%, 5% and 9% variants cannot be collapsed."
"творог однородный жирный","homogeneous fat cottage cheese","COTTAGE_CHEESE_UNSPECIFIED_FAT","","","","catalog-core-v3/local-authority-index-2026-07-25","2026-08-21","","","","","REJECTED","AMBIGUOUS_FORM","Texture and “fatty” wording do not identify a unique nutrition authority."
